GSM1068478;GSM1068479;GSM1068481;GSM1068482;GSM1068483;GSM1068486;GSM1068487;GSM1068488;GSM1068490;GSM1068491;GSM1068492;GSM1068493;GSM1068494;GSM1068495;GSM1068496;GSM1068498;GSM1068499;GSM1068500;GSM1068502;GSM1068503;GSM1068505;GSM1068506;GSM1068507;GSM1068508;GSM1068510;GSM1068512;GSM1068513;GSM1068514;GSM1068517;GSM1068518;GSM1068520;GSM1068521;GSM1068522;GSM1068524;GSM1068527;GSM1068480;GSM1068484;GSM1068485;GSM1068489;GSM1068497;GSM1068501;GSM1068504;GSM1068509;GSM1068511;GSM1068515;GSM1068516;GSM1068519;GSM1068523;GSM1068525;GSM1068526;GSM1068458;GSM1068459;GSM1068460;GSM1068461;GSM1068464;GSM1068468;GSM1068472;GSM1068473;GSM1068474;GSM1068476;GSM1068477;GSM1068462;GSM1068463;GSM1068465;GSM1068466;GSM1068467;GSM1068469;GSM1068470;GSM1068471;GSM1068475;GSM1068528;GSM1068531;GSM1068532;GSM1068533;GSM1068535;GSM1068537;GSM1068538;GSM1068539;GSM1068540;GSM1068542;GSM1068543;GSM1068544;GSM1068545;GSM1068546;GSM1068547;GSM1068548;GSM1068549;GSM1068550;GSM1068551;GSM1068552;GSM1068555;GSM1068556;GSM1068557;GSM1068560;GSM1068561;GSM1068562;GSM1068563;GSM1068565;GSM1068529;GSM1068530;GSM1068534;GSM1068536;GSM1068541;GSM1068553;GSM1068554;GSM1068558;GSM1068559;GSM1068564
11.765;111.503;118.238;10.963;116.347;110.797;11.307;11.173;110.122;111.238;11.179;113.034;117.204;110.367;11.731;112.743;112.198;118.597;111.804;11.132;111.006;111.647;11.123;115.222;109.591;116.677;113.129;10.806;115.437;110.398;11.359;111.395;107.667;113.151;11.185;114.219;116.395;10.762;111.309;116.468;107.501;111.574;11.223;106.948;104.301;110.375;114.294;114.957;113.173;111.412;111.303;109.253;109.843;111.624;110.414;113.187;113.187;111.236;113.149;108.024;10.701;11.2;113.504;11.348;112.633;112.527;116.228;113.005;110.521;111.518;112.292;109.248;111.576;113.568;106.201;111.102;108.322;116.494;116.061;112.311;11.181;109.883;111.155;108.786;108.294;111.127;863.974;110.272;109.426;109.299;113.844;109.297;114.685;110.709;115.702;109.714;108.905;113.231;114.621;111.346;115.331;11.307;110.341;106.863;111.307;111.956;111.311;107.913
668.845;629.378;577.885;620.746;47.852;538.453;588.975;639.307;600.136;568.254;595.714;567.779;674.034;635.601;561.099;662.565;631.916;640.693;519.555;619.077;585.951;64.941;658.236;626.099;652.714;651.948;641.427;570.883;633.039;626.036;620.242;594.214;50.369;648.535;612.247;579.675;581.072;57.294;600.618;626.296;583.011;657.679;496.956;648.368;601.286;598.603;604.446;657.715;620.802;595.251;712.339;571.381;613.611;634.061;60.212;575.553;566.791;558.193;646.421;649.709;564.214;579.401;612.292;585.755;627.854;627.389;60.057;627.989;575.693;596.002;515.579;602.141;581.462;579.652;630.149;577.316;609.637;611.235;576.936;585.617;611.452;560.082;598.538;635.644;568.928;582.192;586.333;633.869;589.794;573.583;633.731;577.639;60.611;614.981;647.363;593.867;590.826;696.678;653.933;577.446;58.417;598.821;576.583;592.124;572.922;691.738;635.952;613.216
640.638;65.399;294.554;562.157;612.992;564.204;680.579;57.452;605.809;50.467;4.878;586.196;465.692;617.647;588.535;742.021;577.063;497.303;570.357;626.268;513.132;40.984;502.266;569.259;594.387;334.231;569.723;522.939;706.631;500.468;557.106;509.968;614.753;609.846;483.827;486.169;501.072;586.825;454.302;638.637;626.661;547.777;643.145;610.853;567.946;633.189;43.996;652.624;45.535;418.106;27.146;701.957;533.086;413.075;629.558;741.385;573.924;630.961;656.056;526.447;700.057;67.337;507.831;562.542;598.102;642.909;64.986;709.718;670.073;673.196;551.513;190.464;399.724;301.557;365.579;334.119;481.731;640.721;455.486;464.922;419.717;485.317;442.653;486.807;56.465;396.164;461.192;511.169;64.258;560.339;706.084;399.773;616.341;490.779;595.182;603.255;330.428;602.888;606.607;503.564;523.585;478.694;293.856;482.587;444.784;580.114;578.344;536.149
188.171;143.777;147.388;150.057;142.719;141.453;131.007;150.026;158.497;130.685;126.722;150.823;163.612;140.437;122.702;143.101;133.114;14.849;143.354;113.397;279.712;144.332;159.661;134.753;132.486;147.667;142.964;144.916;134.675;141.636;140.273;126.363;124.992;143.526;135.293;137.554;13.484;140.064;135.175;132.434;139.578;130.518;133.209;329.595;108.145;134.814;14.468;141.064;135.035;142.746;136.539;134.634;125.905;132.326;14.124;132.643;143.161;137.859;115.849;236.598;129.042;128.993;137.254;211.807;146.249;13.883;106.016;130.129;14.389;121.317;150.536;138.185;133.638;128.644;154.436;150.308;253.955;155.233;147.302;146.934;139.361;140.106;125.495;181.661;124.646;196.898;145.166;138.832;177.763;133.006;138.013;145.037;136.368;126.011;130.653;121.119;13.735;125.121;18.727;142.304;135.702;189.157;198.907;201.289;126.051;284.686;142.486;176.015
916.313;879.248;941.351;975.378;885.106;907.236;914.032;932.616;934.733;871.094;884.877;971.358;974.729;92.987;895.268;906.268;947.562;885.335;899.998;892.122;909.824;856.488;921.567;89.457;921.632;904.936;917.751;929.278;935.544;936.426;939.383;886.068;877.236;950.349;945.528;912.074;922.528;928.662;910.911;933.347;91.736;911.138;853.405;895.845;933.954;931.444;949.442;929.779;942.501;916.215;934.593;903.411;944.365;874.896;944.933;945.674;911.038;899.246;909.766;922.826;917.427;943.373;944.913;944.688;921.078;930.809;914.798;908.961;926.903;907.203;920.742;889.242;920.342;880.528;937.597;848.858;938.708;979.031;892.688;900.594;893.833;889.184;884.541;927.454;897.328;900.049;876.786;927.259;905.844;893.001;9.358;910.526;947.802;93.036;95.216;969.896;880.771;917.053;971.164;903.423;942.655;9.183;936.121;940.767;931.643;935.973;886.756;894.563
659.184;633.201;646.551;629.518;69.903;687.607;669.913;710.535;638.505;689.743;663.932;679.547;653.778;655.848;671.219;67.691;673.953;638.152;690.985;672.936;663.124;658.042;680.409;698.121;704.976;6.415;654.591;656.682;68.643;6.558;657.629;667.194;666.528;669.208;671.767;604.747;658.741;688.167;644.287;685.797;686.328;677.756;661.455;692.745;676.134;68.104;685.845;691.346;631.147;668.279;708.158;706.748;670.957;684.898;656.336;696.018;670.064;71.657;682.406;660.653;694.621;668.488;625.981;661.262;678.171;687.756;677.921;650.457;647.664;680.082;670.552;722.276;697.175;69.109;683.111;65.693;708.295;656.284;636.638;715.011;642.811;691.838;697.914;682.516;706.052;687.835;688.435;671.873;693.518;687.336;674.104;672.536;659.669;657.635;624.777;665.534;691.317;679.124;645.279;696.897;62.547;672.836;657.635;696.584;683.325;654.827;663.829;66.041
69.439;725.954;647.927;703.616;703.942;699.538;666.769;681.098;75.342;716.548;694.372;660.652;708.829;72.004;691.151;706.344;679.154;705.391;640.099;659.415;711.477;722.405;704.363;710.208;734.584;717.569;719.597;728.489;707.889;725.441;657.991;699.802;676.702;706.529;718.521;629.113;692.624;696.259;706.634;689.132;652.645;731.461;733.902;688.753;71.559;678.237;69.203;725.781;698.322;70.751;760.361;690.909;720.551;738.631;709.092;70.823;649.252;670.171;71.629;73.935;694.198;703.113;691.419;689.809;706.817;689.968;701.225;684.631;685.326;707.144;676.174;680.422;699.269;755.695;672.047;670.921;683.237;681.587;698.989;693.233;698.003;690.685;735.758;719.303;713.563;727.291;73.501;706.425;681.644;683.831;71.702;714.159;727.356;714.663;686.763;709.607;731.205;720.685;728.724;648.987;704.601;669.316;716.415;67.077;65.092;72.015;73.357;689.732
687.904;668.519;635.302;663.985;718.989;667.616;627.004;676.326;627.334;683.764;654.247;623.418;666.733;660.156;613.764;577.102;619.531;682.805;611.255;635.697;680.368;680.371;674.756;655.463;645.632;68.086;671.724;633.044;625.785;659.943;657.483;601.222;633.566;675.822;686.346;69.652;639.341;665.837;702.313;644.714;657.276;657.828;687.676;608.798;636.378;640.125;642.722;654.481;664.257;657.053;631.984;789.467;634.094;541.344;630.604;624.383;596.719;626.883;618.086;636.011;675.997;661.984;720.662;603.438;683.655;602.281;642.694;654.145;642.441;650.786;691.931;667.056;622.316;654.272;663.801;699.527;63.422;652.235;64.904;659.594;678.981;629.252;626.121;608.411;593.712;650.358;635.139;698.987;612.528;63.094;656.772;642.564;676.044;668.486;678.007;664.967;666.771;647.658;684.496;611.636;690.942;667.303;653.456;6.635;639.906;681.332;669.556;651.608
606.014;559.814;556.395;575.064;593.246;531.196;541.325;609.652;593.032;578.255;564.066;549.798;689.108;652.015;614.093;615.139;627.394;482.268;551.922;575.167;646.667;617.133;647.188;571.535;681.278;613.977;604.927;609.772;630.032;684.312;620.665;654.171;53.738;636.577;629.278;560.076;636.264;594.392;606.042;616.484;676.409;567.619;685.002;664.446;605.357;698.222;641.618;645.199;612.968;599.157;626.308;639.433;60.323;533.178;554.762;604.883;571.429;620.085;626.935;566.392;570.855;589.374;598.021;545.275;627.649;565.956;540.583;621.101;547.108;560.889;661.338;729.676;611.607;600.171;737.973;671.074;641.587;590.537;536.298;658.348;678.445;612.568;631.524;704.228;69.784;638.183;695.712;613.173;512.702;630.227;556.265;660.133;601.492;675.973;518.225;652.947;623.709;531.868;547.283;651.354;534.387;638.104;612.414;815.672;636.948;529.171;568.817;572.652
648.204;630.907;624.641;639.273;678.173;573.113;588.589;597.141;611.771;628.681;592.288;628.344;642.281;624.255;626.896;629.047;624.214;636.089;544.092;59.586;594.631;56.874;628.489;567.277;583.765;602.518;591.608;600.012;656.323;638.463;603.387;614.467;584.908;576.539;591.517;645.023;600.869;63.613;599.246;649.231;584.053;589.085;682.027;581.756;643.041;600.976;670.215;621.187;590.917;564.085;646.072;672.955;610.412;582.894;608.553;618.316;594.447;620.709;61.299;60.036;604.196;670.929;613.976;598.863;611.369;604.546;654.121;589.809;586.902;649.315;64.069;629.107;619.689;569.807;594.671;602.727;601.361;633.133;615.135;595.207;579.813;612.542;592.656;633.616;626.593;621.146;60.353;560.949;574.426;604.599;613.943;617.174;625.139;5.996;602.735;605.144;61.281;617.137;6.235;623.364;590.764;627.455;648.347;561.144;607.858;58.837;615.597;584.669
